0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898
1,0.755,0.449,0.673,0.776,0.653,0.776,0.878,1,0.939,0.7899
0.939,0.918,0.959,0.959,0.959,0.939,0.939,0.816,0.939,0.939,0.9306
0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163
0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776
0.796,0.939,0.816,0.837,0.816,0.816,0.816,0.816,0.816,0.816,0.8284
0.327,0,0.469,0.327,0.286,0.367,0.163,0.673,0.449,0.286,0.3347
1,0.939,0.898,0.959,0.939,0.959,0.939,0.857,1,0.98,0.947
0,0,0,0,0,0,0,0,0,0,
